OBJECTID_1,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,LINC_Region,ShapeSTArea,ShapeSTLength
131,13,145,13145,Harris,Harris County,32024,N,N,N,N,N,N,N,River Valley,302667,472.91799927,HARRIS,{A388E60C-9DEC-4367-B662-CFDC2645ECFB},8,13184192202.9207,539067.161708932
132,13,277,13277,Tift,Tift County,40118,N,N,N,N,N,N,N,Southern Georgia,172006,268.75900269,TIFT,{7D786597-AA68-4075-A7C3-759458D6510E},11,7492577594.96511,388553.084522889
133,13,161,13161,Jeff Davis,Jeff Davis County,15068,N,N,N,N,N,N,N,Heart of Georgia Altamaha,214723,335.5039978,JEFF DAVIS,{1EFDB4D6-8067-4077-BC2D-92B24AD6F81A},9,9353316887.73732,524333.400117891
134,13,257,13257,Stephens,Stephens County,26175,N,N,N,N,N,N,N,Georgia Mountains,117881,184.19000244,STEPHENS,{58CFC9A3-8332-45B1-8805-00679B7303BC},2,5134913969.28719,324121.10688461
135,13,071,13071,Colquitt,Colquitt County,45498,N,N,N,N,N,N,N,Southwest Georgia,356190,556.54797363,COLQUITT,{4D23CE4A-9FAE-42BE-A91E-7E47B0A3A296},10,15515663345.5529,572649.224714131
136,13,283,13283,Treutlen,Treutlen County,6885,N,N,N,N,N,N,N,Heart of Georgia Altamaha,129614,202.52200317,TREUTLEN,{3E1998DD-B39E-4EE9-9F98-782D0BF0F0BA},9,5645983399.16347,387703.981167497
137,13,189,13189,McDuffie,McDuffie County,21875,N,N,N,N,N,N,N,Central Savannah River Area,170557,266.49499512,MCDUFFIE,{9E08A91E-F9BD-4594-8D7B-08F0CD9AECDD},7,7429456340.4264,495134.533855716
138,13,089,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.08700562,DEKALB,{3912F679-CB5F-4618-B448-53B943B436DF},3,7557478316.31047,416926.073019061
139,13,115,13115,Floyd,Floyd County,96317,N,N,N,N,N,N,N,Northwest Georgia,331827,518.47998047,FLOYD,{ED00C8F8-7175-42A5-99D6-9D8BDC20EB15},1,14454391007.3743,651376.668810385
140,13,237,13237,Putnam,Putnam County,21218,N,N,N,N,N,N,N,Middle Georgia,230824,360.6619873,PUTNAM,{795F9A85-69FA-4BDB-AC2B-4F43C3B21C50},6,10054689368.2953,482577.533935302
